payment_id,user_id,amount,currency,payment_date,method
b5be1c70-7603-44da-be6c-b57476711014,5,4.99,USD,2026-02-03,Credit Card
4905d8d9-ba20-4168-bfd1-b1f957fe22f7,7,4.99,USD,2026-02-03,Credit Card
e2ce11d7-d7a7-4a44-a8db-41b96d3e7ad7,11,4.99,USD,2026-02-03,Credit Card
fbfa8230-7af0-42fd-91a4-eb6a512a38c1,12,4.99,USD,2026-02-03,Credit Card
f1f3b5bf-6d4d-487f-8582-2522246aeb14,14,4.99,USD,2026-02-03,Credit Card
6d44522f-dee5-47ac-b194-f17450bf7dc2,15,4.99,USD,2026-02-03,Credit Card
2108b478-ca01-4cf3-b24d-927f6ef99b9a,16,4.99,USD,2026-02-03,Credit Card
6011f0f0-3008-45e2-a30d-93e4353a7af8,18,0.0,USD,2026-02-03,Credit Card
4c4c75e7-4af9-4e66-9d7c-307150fd05e2,19,4.99,USD,2026-02-03,Credit Card
4af13372-e252-48c5-859a-cc078cf52b25,23,9.99,USD,2026-02-03,Credit Card
016a3e2b-0d5c-4386-9b0d-63309aaf1879,24,9.99,USD,2026-02-03,Credit Card
ff4390a7-33f8-4cb2-8c2f-16bc027ecb2f,26,9.99,USD,2026-02-03,Credit Card
eab2feab-ce09-4a87-a217-9095519f879d,27,9.99,USD,2026-02-03,Credit Card
8777227b-6b5c-4c54-8365-365f09346f12,31,9.99,USD,2026-02-03,Credit Card
ed078508-1420-46c7-b78e-9a6bd6113272,32,9.99,USD,2026-02-03,Credit Card
941f8846-202d-4736-a097-449662560354,35,0.0,USD,2026-02-03,Credit Card
eccc7eb9-9a87-43c4-823a-bf3a7740df76,36,9.99,USD,2026-02-03,Credit Card
0b041c2d-0ae9-45f1-90f1-71959aee87b4,38,0.0,USD,2026-02-03,Credit Card
7b8b1533-41a4-440a-a96b-03be96d3ca69,41,9.99,USD,2026-02-03,Credit Card
5ab1184d-81dd-45a7-894b-1be443613be6,42,0.0,USD,2026-02-03,Credit Card
0da9dea7-65a7-4749-87ad-73522b93dd47,43,0.0,USD,2026-02-03,Credit Card
afe097c0-6b9a-40a0-9201-b08725966e3e,49,9.99,USD,2026-02-03,Credit Card
247a8519-e7ca-43c9-ba97-f6fa2ad47d63,50,9.99,USD,2026-02-03,Credit Card
5ef6fa33-964f-4249-b64e-7077fcbadb82,51,4.99,USD,2026-02-03,Credit Card
ddfc07ad-bb45-437e-9c17-3b25d6f38a0b,52,0.0,USD,2026-02-03,Credit Card
aa62a1b7-a35c-49a2-81db-d031841ccbe6,55,9.99,USD,2026-02-03,Credit Card
151454c4-fd18-48a2-ab58-2ae1ee2ba57f,57,0.0,USD,2026-02-03,Credit Card
68d44ede-6b06-41de-ad97-482284ebdf43,59,9.99,USD,2026-02-03,Credit Card
ccfc719e-7a53-4fb6-8c26-7b988ea22855,60,4.99,USD,2026-02-03,Credit Card
48d8eee1-fc94-4527-b6db-a2be6423a3a8,63,9.99,USD,2026-02-03,Credit Card
517ca70f-d4be-47e3-8421-d40b0c02f257,64,4.99,USD,2026-02-03,Credit Card
f88f2f39-aeeb-4c0d-a052-df5765f2eeec,65,4.99,USD,2026-02-03,Credit Card
16980e42-38e8-47ab-ae4b-747f722e7199,68,0.0,USD,2026-02-03,Credit Card
bd809039-1ebb-4260-a971-91d4d5486297,69,4.99,USD,2026-02-03,Credit Card
c17be352-74a8-4030-878f-36a131f59328,72,9.99,USD,2026-02-03,Credit Card
a841d42f-7fa3-4829-8abf-0941af4642b2,73,4.99,USD,2026-02-03,Credit Card
6f1e4317-8192-4b85-93af-c120b3afa2f1,75,4.99,USD,2026-02-03,Credit Card
beecbfeb-9706-4552-b2bc-59dd75e67fa0,80,9.99,USD,2026-02-03,Credit Card
429a8f90-23fd-4523-9611-9da5da876bea,81,4.99,USD,2026-02-03,Credit Card
a575a2a7-cc5c-4add-9c29-fd0eb0021073,82,4.99,USD,2026-02-03,Credit Card
b94ff343-fb83-4897-a63e-4301efc8c37f,83,4.99,USD,2026-02-03,Credit Card
6acd42ef-3941-4735-b788-6f2ef7a7d031,88,0.0,USD,2026-02-03,Credit Card
20cb7653-4014-4f80-8c4e-dfe41c7845dc,90,4.99,USD,2026-02-03,Credit Card
7ad684b7-5c68-4f27-9668-e43a0b8cafad,94,9.99,USD,2026-02-03,Credit Card
3038392f-9833-44ce-b458-ed4c4af8a132,95,0.0,USD,2026-02-03,Credit Card
7df4a7ff-0cf5-4112-8bd1-6e8e797a8d19,99,9.99,USD,2026-02-03,Credit Card
